Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
CENTRAL VIEW,"1,050,000","1,216.33",863,Apr-21,HOUGANG STREET 11,Resale,Strata,113,"9,292",-,Condominium,1,99 yrs lease commencing from 1998,19,Outside Central Region,06 to 10
LOFT @ STEVENS,"880,000",409.03,"2,151",Apr-21,STEVENS ROAD,Resale,Strata,38,"23,158",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
BARTLEY RIDGE,"1,180,000",850.36,"1,388",Apr-21,MOUNT VERNON ROAD,Resale,Strata,79,"14,937",-,Condominium,1,99 yrs lease commencing from 2012,13,Rest of Central Region,01 to 05
THE FORESTA @ MOUNT FABER,"850,000",430.56,"1,974",Apr-21,WISHART ROAD,Resale,Strata,40,"21,250",-,Condominium,1,Freehold,04,Rest of Central Region,01 to 05
THE FORESTA @ MOUNT FABER,"835,000",430.56,"1,939",Apr-21,WISHART ROAD,Resale,Strata,40,"20,875",-,Condominium,1,Freehold,04,Rest of Central Region,01 to 05
DE ROYALE,"1,765,000","1,259.39","1,401",Apr-21,JALAN RAMA RAMA,Resale,Strata,117,"15,085",-,Condominium,1,Freehold,12,Rest of Central Region,01 to 05
ALLSWORTH PARK,"3,380,000","1,959.05","1,725",Apr-21,HOLLAND ROAD,Resale,Strata,182,"18,571",-,Condominium,1,999 yrs lease commencing from 1885,10,Core Central Region,01 to 05
J GATEWAY,"1,185,000",678.13,"1,747",Apr-21,GATEWAY DRIVE,Resale,Strata,63,"18,810",-,Condominium,1,99 yrs lease commencing from 2012,22,Outside Central Region,16 to 20
AMBER RESIDENCES,"3,900,000","2,217.38","1,759",Apr-21,AMBER ROAD,Resale,Strata,206,"18,932",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
THE TROPICA,"865,000",990.29,873,Apr-21,TAMPINES AVENUE 1,Resale,Strata,92,"9,402",-,Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,06 to 10
THE JADE,"1,100,000","1,011.82","1,087",Apr-21,BUKIT BATOK CENTRAL LINK,Resale,Strata,94,"11,702",-,Condominium,1,99 yrs lease commencing from 2001,23,Outside Central Region,06 to 10
VILLA MARINA,"1,280,000","1,151.75","1,111",Apr-21,JALAN SEMPADAN,Resale,Strata,107,"11,963",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
