Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE CRITERION,"1,400,000","1,194.8","1,172",Dec-25,YISHUN STREET 51,Resale,Strata,111,"12,613",-,Executive Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,01 to 05
OTTO PLACE,"1,449,000",871.88,"1,662",Dec-25,PLANTATION CLOSE,New Sale,Strata,81,"17,889",-,Executive Condominium,1,99 yrs lease commencing from 2024,24,Outside Central Region,01 to 05
THE TAMPINES TRILLIANT,"1,720,000","1,130.22","1,522",Dec-25,TAMPINES CENTRAL 7,Resale,Strata,105,"16,381",-,Executive Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,01 to 05
RIVERCOVE RESIDENCES,"1,450,000",904.18,"1,604",Dec-25,ANCHORVALE LANE,Resale,Strata,84,"17,262",-,Executive Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,06 to 10
LUSH ACRES,"1,720,000","1,367.03","1,258",Dec-25,FERNVALE CLOSE,Resale,Strata,127,"13,543",-,Executive Condominium,1,99 yrs lease commencing from 2013,28,Outside Central Region,01 to 05
SOL ACRES,"1,650,000","1,162.51","1,419",Dec-25,CHOA CHU KANG GROVE,Resale,Strata,108,"15,278",-,Executive Condominium,1,99 yrs lease commencing from 2014,23,Outside Central Region,01 to 05
WATERCOLOURS,"1,585,000","1,237.86","1,280",Dec-25,PASIR RIS LINK,Resale,Strata,115,"13,783",-,Executive Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,01 to 05
TWIN FOUNTAINS,"1,370,000","1,054.87","1,299",Dec-25,WOODLANDS AVENUE 6,Resale,Strata,98,"13,980",-,Executive Condominium,1,99 yrs lease commencing from 2012,25,Outside Central Region,01 to 05
HERON BAY,"2,180,000","1,506.96","1,447",Dec-25,UPPER SERANGOON VIEW,Resale,Strata,140,"15,571",-,Executive Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
HERON BAY,"1,850,000","1,280.92","1,444",Dec-25,UPPER SERANGOON VIEW,Resale,Strata,119,"15,546",-,Executive Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
THE VALES,"1,245,000",764.24,"1,629",Dec-25,ANCHORVALE CRESCENT,Resale,Strata,71,"17,535",-,Executive Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
THE CRITERION,"1,450,000","1,119.46","1,295",Dec-25,YISHUN STREET 51,Resale,Strata,104,"13,942",-,Executive Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,01 to 05
TWIN FOUNTAINS,"1,618,000","1,205.57","1,342",Dec-25,WOODLANDS AVENUE 6,Resale,Strata,112,"14,446",-,Executive Condominium,1,99 yrs lease commencing from 2012,25,Outside Central Region,06 to 10
1 CANBERRA,"1,288,888",947.23,"1,361",Dec-25,CANBERRA DRIVE,Resale,Strata,88,"14,646",-,Executive Condominium,1,99 yrs lease commencing from 2012,27,Outside Central Region,01 to 05
OTTO PLACE,"1,586,000",871.88,"1,819",Dec-25,PLANTATION CLOSE,New Sale,Strata,81,"19,580",-,Executive Condominium,1,99 yrs lease commencing from 2024,24,Outside Central Region,11 to 15
