Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE BEVERLY,"2,968,000","2,992.39",992,Apr-23,TOH TUCK ROAD,Resale,Strata,278,"10,676",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05
COSTA RHU,"3,250,000","2,055.92","1,581",Apr-23,RHU CROSS,Resale,Strata,191,"17,016",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,01 to 05
PETIT JERVOIS,"1,542,000",635.08,"2,428",Apr-23,JERVOIS ROAD,Resale,Strata,59,"26,136",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
8@WOODLEIGH,"1,430,000",839.59,"1,703",Apr-23,WOODLEIGH CLOSE,Resale,Strata,78,"18,333",-,Condominium,1,99 yrs lease commencing from 2008,13,Rest of Central Region,06 to 10
EASTPOINT GREEN,"1,200,000","1,302.44",921,Apr-23,SIMEI STREET 3,Resale,Strata,121,"9,917",-,Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,01 to 05
BAYWATER,"1,580,000","1,291.68","1,223",Apr-23,BEDOK RESERVOIR ROAD,Resale,Strata,120,"13,167",-,Condominium,1,99 yrs lease commencing from 2001,16,Outside Central Region,06 to 10
RIPPLE BAY,"2,800,000","2,335.79","1,199",Apr-23,PASIR RIS LINK,Resale,Strata,217,"12,903",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,11 to 15
BEDOK COURT,"2,400,000","2,411.14",995,Apr-23,BEDOK SOUTH AVENUE 3,Resale,Strata,224,"10,714",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,06 to 10
THE POIZ RESIDENCES,"868,000",592.02,"1,466",Apr-23,MEYAPPA CHETTIAR ROAD,Resale,Strata,55,"15,782",-,Apartment,1,99 yrs lease commencing from 2014,13,Rest of Central Region,16 to 20
D'LOTUS,"1,288,000",807.3,"1,595",Apr-23,LORONG AMPAS,Resale,Strata,75,"17,173",-,Apartment,1,Freehold,12,Rest of Central Region,16 to 20
RIVERFRONT RESIDENCES,"2,350,000","1,410.08","1,667",Apr-23,HOUGANG AVENUE 7,Sub Sale,Strata,131,"17,939",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
ICON,"1,050,000",581.26,"1,806",Apr-23,GOPENG STREET,Resale,Strata,54,"19,444",-,Apartment,1,99 yrs lease commencing from 2002,02,Core Central Region,16 to 20
HIGH PARK RESIDENCES,"1,200,000",871.88,"1,376",Apr-23,FERNVALE ROAD,Resale,Strata,81,"14,815",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,11 to 15
PARC ESTA,"1,823,000",839.59,"2,171",Apr-23,SIMS AVENUE,Sub Sale,Strata,78,"23,372",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,11 to 15
RV RESIDENCES,"1,550,000",678.13,"2,286",Apr-23,RIVER VALLEY ROAD,Resale,Strata,63,"24,603",-,Condominium,1,999 yrs lease commencing from 1877,10,Core Central Region,01 to 05
TRELLIS TOWERS,"2,880,000","1,485.43","1,939",Apr-23,LORONG 1 TOA PAYOH,Resale,Strata,138,"20,870",-,Condominium,1,Freehold,12,Rest of Central Region,16 to 20
TREASURE AT TAMPINES,"1,750,000","1,087.16","1,610",Apr-23,TAMPINES LANE,Sub Sale,Strata,101,"17,327",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
VILLA AZURA,"1,950,000","1,356.26","1,438",Apr-23,CHERRY AVENUE,Resale,Strata,126,"15,476",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
PICCADILLY GRAND,"3,066,000","1,582.31","1,938",Apr-23,NORTHUMBERLAND ROAD,New Sale,Strata,147,"20,857",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
ONE BERNAM,"1,351,000",452.09,"2,988",Apr-23,BERNAM STREET,New Sale,Strata,42,"32,167",-,Apartment,1,99 yrs lease commencing from 2019,02,Core Central Region,21 to 25
THE MORNINGSIDE,"6,280,000","3,519.83","1,784",Apr-23,JALAN KUALA,Resale,Strata,327,"19,205",-,Apartment,1,Freehold,09,Core Central Region,21 to 25
THE AVENIR,"6,858,000","2,066.69","3,318",Apr-23,RIVER VALLEY CLOSE,New Sale,Strata,192,"35,719",-,Condominium,1,Freehold,09,Core Central Region,01 to 05
PARC VERA,"1,808,000","1,410.08","1,282",Apr-23,HOUGANG STREET 32,Resale,Strata,131,"13,802",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,11 to 15
